Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    764.20     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator(__gnu_cxx::new_allocator<unsigned char> const&)
  0.00    764.20     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator()
  0.00    764.20     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::max_size() const
  0.00    764.20     0.00        2     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00    764.20     0.00        2     0.00     0.00  std::allocator<unsigned char>::allocator()
  0.00    764.20     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_allocate(unsigned long)
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::_Vector_impl(std::allocator<unsigned char> const&)
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::~_Vector_impl()
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_deallocate(unsigned char*, unsigned long)
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_create_storage(unsigned long)
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_base(unsigned long, std::allocator<unsigned char> const&)
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::~_Vector_base()
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_impl::_Vector_impl()
  0.00    764.20     0.00        2     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_base()
  0.00    764.20     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::deallocate(std::allocator<unsigned char>&, unsigned char*, unsigned long)
  0.00    764.20     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::allocate(std::allocator<unsigned char>&, unsigned long)
  0.00    764.20     0.00        2     0.00     0.00  unsigned char* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long)
  0.00    764.20     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00    764.20     0.00        2     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_initialize(unsigned long)
  0.00    764.20     0.00        2     0.00     0.00  std::vector<short, std::allocator<short> >::vector()
  0.00    764.20     0.00        2     0.00     0.00  __gnu_cxx::__enable_if<std::__is_byte<unsigned char>::__value, unsigned char*>::__type std::__fill_n_a<unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&)
  0.00    764.20     0.00        2     0.00     0.00  unsigned char* std::__niter_base<unsigned char*>(unsigned char*)
  0.00    764.20     0.00        2     0.00     0.00  unsigned char* std::__uninitialized_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long)
  0.00    764.20     0.00        2     0.00     0.00  unsigned char* std::__uninitialized_default_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, std::allocator<unsigned char>&)
  0.00    764.20     0.00        2     0.00     0.00  unsigned char* std::fill_n<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&)
  0.00    764.20     0.00        2     0.00     0.00  void std::_Destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00    764.20     0.00        2     0.00     0.00  void std::_Destroy<unsigned char*, unsigned char>(unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00    764.20     0.00        2     0.00     0.00  __gnu_cxx::__enable_if<std::__is_byte<unsigned char>::__value, void>::__type std::__fill_a<unsigned char>(unsigned char*, unsigned char*, unsigned char const&)
  0.00    764.20     0.00        1     0.00     0.01  _GLOBAL__sub_I_buffer4
  0.00    764.20     0.00        1     0.00     0.09  denormalize(std::vector<double, std::allocator<double> >&, std::vector<short, std::allocator<short> >&, int)
  0.00    764.20     0.00        1     0.00     0.01  __static_initialization_and_destruction_0(int, int)
  0.00    764.20     0.00        1     0.00     0.27  scaleDown(std::vector<double, std::allocator<double> >&)
  0.00    764.20     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00    764.20     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<short>::new_allocator(__gnu_cxx::new_allocator<short> const&)
  0.00    764.20     0.00        1     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00    764.20     0.00        1     0.00     0.00  std::allocator<short>::allocator(std::allocator<short> const&)
  0.00    764.20     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00    764.20     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00    764.20     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00    764.20     0.00        1     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_impl::_Vector_impl(std::allocator<short> const&)
  0.00    764.20     0.00        1     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_M_create_storage(unsigned long)
  0.00    764.20     0.00        1     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_base(unsigned long, std::allocator<short> const&)
  0.00    764.20     0.00        1     0.00     0.01  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00    764.20     0.00        1     0.00     0.00  short* std::__uninitialized_default_n_1<true>::__uninit_default_n<short*, unsigned long>(short*, unsigned long)
  0.00    764.20     0.00        1     0.00     0.01  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
